Date,Value
10/1/1998,0.8
1/1/1999,0
4/1/1999,0
7/1/1999,0.8
10/1/1999,2.7
1/1/2000,2.7
4/1/2000,2.7
7/1/2000,1.7
10/1/2000,0
1/1/2001,0
4/1/2001,0.9
7/1/2001,0.9
10/1/2001,0.9
1/1/2002,0.9
4/1/2002,0
7/1/2002,0
10/1/2002,0.9
1/1/2003,0.9
4/1/2003,0.9
7/1/2003,0.9
10/1/2003,0
1/1/2004,0
4/1/2004,0
7/1/2004,0
10/1/2004,0
1/1/2005,0
4/1/2005,0
7/1/2005,0
10/1/2005,0
1/1/2006,0
4/1/2006,0
7/1/2006,0
10/1/2006,0
1/1/2007,0
4/1/2007,0
7/1/2007,0
10/1/2007,0
1/1/2008,0
4/1/2008,0
7/1/2008,0
10/1/2008,0
1/1/2009,0
4/1/2009,0
7/1/2009,0
10/1/2009,0
1/1/2010,0
4/1/2010,1
7/1/2010,1
10/1/2010,1
1/1/2011,1
4/1/2011,0
7/1/2011,0.8
10/1/2011,1.8
1/1/2012,3.7
4/1/2012,5.2
7/1/2012,4
10/1/2012,2.3
1/1/2013,1.8
4/1/2013,0.9
7/1/2013,0.8
10/1/2013,2
1/1/2014,0.9
4/1/2014,0.9
7/1/2014,0.9
10/1/2014,0
1/1/2015,0
4/1/2015,0
7/1/2015,0.9
10/1/2015,0.9
1/1/2016,0.9
4/1/2016,0.8
7/1/2016,1.7
10/1/2016,2
1/1/2017,2
4/1/2017,2
7/1/2017,0
10/1/2017,0
1/1/2018,0
